City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,khandyga,62.6667,135.6,-44.51999999999998,100,66,1.24,RU,1707157977
133,ketchikan,55.3422,-131.6461,3.2600000000000477,75,40,4.63,US,1707157977
134,cambria,35.5641,-121.0808,15.620000000000005,89,56,3.58,US,1707157978
135,meulaboh,4.1363,96.1285,25.560000000000002,88,90,1.17,ID,1707157978
136,arauca,7.0847,-70.7591,34.210000000000036,44,67,2.42,CO,1707157978
137,tsiombe,-25.3,45.4833,23.970000000000027,91,100,4.61,MG,1707157978
138,namsos,64.4662,11.4957,-1.9699999999999704,86,99,2.57,NO,1707157979
139,lascano,-33.6667,-54.2,32.55000000000001,35,98,5.7,UY,1707157979
140,al abyar,32.19,20.5965,12.760000000000048,78,58,3.81,LY,1707157979
141,egilsstadir,65.2653,-14.3948,-10.049999999999955,79,20,1.03,IS,1707157979
142,udachny,66.4167,112.4,-22.529999999999973,83,100,2.12,RU,1707157978
143,sao felix do xingu,-6.6447,-51.995,26.970000000000027,81,100,1.21,BR,1707157980
144,selfoss,63.9331,-20.9971,-12.069999999999993,80,3,4.49,IS,1707157980
145,puerto baquerizo moreno,-0.9,-89.6,30.55000000000001,66,40,5.14,EC,1707157970
146,road town,18.4167,-64.6167,29.02000000000004,74,75,5.14,VG,1707157980
147,brookings,44.3114,-96.7984,3.430000000000007,97,40,4.12,US,1707157793
148,yunak,38.8142,31.7322,6.300000000000011,65,97,4.66,TR,1707157981
149,okha,53.5739,142.9478,-23.299999999999983,99,42,4.91,RU,1707157943
150,hamilton,39.1834,-84.5333,11.810000000000002,45,0,4.63,US,1707157806
151,ma'an,26.9775,110.7211,1.0500000000000114,98,100,1.32,CN,1707157981
152,anqing,30.5092,117.0506,-0.8999999999999773,91,100,3.16,CN,1707157981
153,bella union,-30.2752,-57.6007,36.29000000000002,37,97,3.1,UY,1707157981
154,flin flon,54.7682,-101.865,-0.08999999999997499,100,100,2.57,CA,1707157981
155,luc-la-primaube,44.3144,2.5355,7.360000000000014,49,0,0.51,FR,1707157982
156,lhasa,29.65,91.1,-2.169999999999959,22,64,2.95,CN,1707157982
157,luderitz,-26.6481,15.1594,20.0,84,0,5.62,NA,1707157982
158,klyuchi,52.2667,79.1667,-7.599999999999966,86,75,4.5,RU,1707157982
159,laiyang,36.9758,120.7136,-4.409999999999968,76,6,3.63,CN,1707157982
160,minas de marcona,-15.2119,-75.1103,24.960000000000036,60,16,4.61,PE,1707157982
161,farshut,26.0549,32.1633,12.660000000000025,38,0,3.16,EG,1707157983
162,geraldton,-28.7667,114.6,17.230000000000018,67,100,6.69,AU,1707157983
163,solnechnyy,50.7214,136.6319,-27.75999999999999,96,24,1.17,RU,1707157983
164,fruitland,38.3221,-75.6202,9.430000000000007,48,0,4.12,US,1707157983
165,mino,34.8269,135.4706,6.57000000000005,82,75,2.57,JP,1707157984
166,fisterra,42.9049,-9.2629,12.640000000000043,79,100,2.55,ES,1707157984
167,aykhal,66.0,111.5,-21.339999999999975,99,100,2.56,RU,1707157984
168,constantia,44.1833,28.65,13.379999999999995,74,100,4.93,RO,1707157984
169,richards bay,-28.783,32.0377,23.55000000000001,88,98,2.02,ZA,1707157984
170,ciudad lazaro cardenas,17.9583,-102.2,28.390000000000043,60,0,4.58,MX,1707157984
171,taichung,24.1469,120.6839,17.28000000000003,83,75,3.6,TW,1707157985
172,kindu,-2.95,25.95,20.850000000000023,99,100,2.0,CD,1707157985
173,east london,-33.0153,27.9116,23.52000000000004,83,0,2.06,ZA,1707157985
174,ambon,-3.6954,128.1814,26.160000000000025,15,75,1.03,ID,1707157985
175,sitka,57.0531,-135.33,3.9399999999999977,87,75,3.09,US,1707157986
176,gazli,40.1333,63.45,6.910000000000025,52,78,3.51,UZ,1707157986
177,berezovyy,51.6667,135.7,-23.049999999999983,97,6,1.09,RU,1707157986
178,codrington,-38.2667,141.9667,12.54000000000002,71,0,3.27,AU,1707157986
179,cole harbour,44.6724,-63.4751,2.2000000000000455,89,100,7.72,CA,1707157986
180,la passe,45.5549,-0.8967,7.210000000000036,85,100,0.67,FR,1707157986
181,mongo,12.1844,18.693,26.310000000000002,16,2,4.03,TD,1707157986
182,alaghsas,17.0187,8.0168,20.939999999999998,13,100,10.8,NE,1707157987
183,vadso,70.0744,29.7487,-4.909999999999968,80,75,4.63,NO,1707157987
184,shingu,33.7333,135.9833,2.2100000000000364,95,10,2.12,JP,1707157987
185,westport,41.1415,-73.3579,8.03000000000003,32,0,4.12,US,1707157793
186,balkh,36.75,67.0,6.580000000000041,60,0,2.77,AF,1707157987
187,zhalantun,48.0,122.7167,-17.799999999999983,93,100,2.04,CN,1707157987
188,aasiaat,68.7098,-52.8699,-30.25999999999999,89,16,3.48,GL,1707157987
189,savelugu,9.6244,-0.8253,30.620000000000005,11,86,3.32,GH,1707157988
190,maturin,9.75,-63.1767,31.910000000000025,66,23,3.6,VE,1707157988
191,phang nga,8.4509,98.5298,26.02000000000004,83,81,0.81,TH,1707157988
192,mil'kovo,55.6078,37.7956,-2.7299999999999613,84,100,2.73,RU,1707157988
